,factory gate price change (percent),baseline imr,experiment imr,imr change (percent),baseline omr,experiment omr,omr change (percent),terms of trade change (percent),GDP change (percent),welfare statistic,baseline output,experiment output,output change (percent),baseline expenditure,experiment expenditure,expenditure change (percent),baseline modeled foreign exports,experiment foreign exports,foreign exports change (percent),baseline modeled foreign imports,experiment foreign imports,foreign imports change (percent),baseline modeled intranational trade,experiment modeled intranational trade,intranational trade change (percent)
AGO,0.4185656818781247,1.325940515647988,1.3316408572727523,0.4299093026792784,1.7254887442392206,1.7182965446233927,-0.41682101026970436,-0.011295062277666428,-0.011295062277685465,1.0001129633820613,5141.4478,5162.968136042477,0.4185656818781188,9957.4258,9999.104167197278,0.4185656818781126,3630.6820588265346,3643.6874149431137,0.3582069678880829,8441.444248956708,8474.179021888449,0.38778640202221887,1515.9815556284184,1523.483949328652,0.4948868719661722
ALB,0.419177320809605,1.1639583807334404,1.1688799511761383,0.4228304485935924,1.5441073471664926,1.5376618175798222,-0.4174275576434611,-0.0036377462850525908,-0.0036377462850476663,1.0000363787862183,10024.075,10066.093649020946,0.4191773208096039,11211.85,11258.847532443193,0.4191773208096125,6073.379080262228,6096.199943909742,0.3757523340125253,7250.985019532485,7278.659903025164,0.3816706753376079,3960.8649803878393,3977.772805058222,0.42687202805703683
ARE,0.4265393743664969,1.1731715468186128,1.1782055538564207,0.4290938568582755,1.4129140671299159,1.406913029047478,-0.4247277468634619,-0.0025435681969052156,-0.0025435681968915534,1.0000254363289591,139090.13,139683.40417030756,0.42653937436650535,199898.13,200750.77423307236,0.4265393743665092,24904.11710870049,24979.70483596634,0.3035149848353384,85571.01521605406,85899.55975297705,0.3839437174999731,114327.11489145801,114820.67287666905,0.4317068489654635
ARG,0.42158932100546664,1.1974615924307457,1.2025417941406127,0.42424757019176085,1.5805718251362948,1.5739362778682,-0.41981940729094014,-0.0026470192713536427,-0.0026470192713537602,1.0000264708934032,177882.75,178632.68467791085,0.42158932100546315,175280.17,176019.13247856023,0.42158932100546276,60862.166472410245,61079.22845026834,0.3566451712764652,58079.130860731144,58287.37156761937,0.35854652747398646,117201.03930839083,117696.49676810583,0.4227415239990404
ARM,0.41892421685911785,1.2347796807340177,1.2400670218013283,0.42820117222592985,1.6307239536955078,1.6239209555772762,-0.41717656153972615,-0.009237400708696176,-0.009237400708700449,1.0000923825408325,3682.5369000000005,3697.9639388688734,0.4189242168591125,4938.1909,4958.878177554832,0.4189242168591071,2967.1947024210185,2978.4674025551735,0.3799110360016916,4219.112900190032,4235.571377575603,0.39009331522818486,719.0779963628623,722.507952125187,0.47699356393514547
AUS,0.4202485859774008,1.1991623794178818,1.2043208393217413,0.430171926037535,1.5584979150366753,1.5519757588680638,-0.4184898873257737,-0.009880835479836822,-0.009880835479856643,1.0000988181188541,285427.91,286627.4167557598,0.42024858597739206,354095.16,355583.2399029144,0.4202485859773997,88163.30485230585,88348.24453966139,0.2097694586941303,156540.99857223273,157019.7081712431,0.30580461564482314,197554.16146314517,198513.21432982906,0.48546325705359095
AUT,0.4171363855896226,1.0539055897709075,1.058326140580154,0.41944466868303093,1.4224625676904985,1.4165536072132545,-0.41540358329693955,-0.0022986415639106366,-0.00229864156391537,1.0000229869440267,211832.34,212715.9697665859,0.4171363855896208,209720.11,210594.92888670857,0.4171363855896245,88581.33622576969,88904.71891778568,0.3650686541821602,86254.20997402346,86569.71277425048,0.36578249377281885,123465.90001832983,123972.95887737417,0.4106873711438206
AZE,0.4198423895735548,1.2386658826871477,1.2439805888599327,0.42906697012234585,1.6193550581864167,1.6125847438813496,-0.4180870816959305,-0.009185170018093373,-0.009185170018102897,1.0000918601376907,6969.5928,6998.854104955067,0.4198423895735545,13048.989,13103.77418723279,0.41984238957355335,5144.392170801705,5163.52768486917,0.37196841593985475,11216.717970756548,11260.740213516247,0.39246990852823394,1832.271026955334,1841.035853076441,0.4783586048223148
BDI,0.4169795010933175,1.3214437786900701,1.327135076351503,0.43068783955944434,1.7367807946960692,1.7295688471962691,-0.415247999161696,-0.01364955150762912,-0.013649551507606989,1.0001365141486454,696.30597,699.209423159789,0.41697950109332305,1225.5675,1230.677865247062,0.4169795010933272,587.4623585047669,589.6716771587018,0.37607833454352085,1116.0175113736261,1120.3980114186606,0.3925117662036395,109.54998864837756,110.11199284766622,0.513011645389134
BEL,0.41698565953811606,1.0485463786922007,1.052941945959589,0.41920580307288774,1.4240653289100529,1.418151839151508,-0.4152541065704435,-0.0022108754167312825,-0.002210875416720287,1.0000221092429753,322725.91,324071.63076431386,0.4169856595381148,298794.94,300040.8720512255,0.4169856595381124,137220.3034326176,137723.6298045964,0.366801675399263,112961.93966193411,113371.54845765723,0.3626077924555602,185833.00032709178,186594.15889373104,0.4095927877715581
