exporter,importer,year,flow,Y,E,distw,cntg,lang,colony,rta,home,ison_o,ison_d,ldis
AGO,AGO,2020,3446.758221626282,5141.4478,9957.4258,288,0,0,0,0,1,2,2,5.6629605
AGO,ALB,2020,0,5141.4478,11211.85,5679,0,0,0,0,0,2,3,8.6445303
AGO,ARE,2020,475.994690848499,5141.4478,199898.13,5914,0,0,0,0,0,2,4,8.6850777
AGO,ARG,2020,.051450917373586,5141.4478,175280.17,7961,0,0,0,0,0,2,5,8.9823103
AGO,ARM,2020,0,5141.4478,4938.1909,6364,0,0,0,0,0,2,6,8.7584124
AGO,AUS,2020,.1149386912354657,5141.4478,354095.16,12951,0,0,0,0,0,2,7,9.4689283
AGO,AUT,2020,.0452100486691052,5141.4478,209720.11,6414,0,0,0,0,0,2,8,8.7662382
AGO,AZE,2020,.0018822719939635,5141.4478,13048.989,6655,0,0,0,0,0,2,9,8.8031235
AGO,BDI,2020,0,5141.4478,1225.5675,1879,0,0,0,0,0,2,10,7.5384951
AGO,BEL,2020,152.6887939345324,5141.4478,298794.94,6765,0,0,0,0,0,2,11,8.8195171
AGO,BEN,2020,.3646710645407438,5141.4478,2627.3208,2265,0,0,0,0,0,2,12,7.7253299
AGO,BFA,2020,.699867387793347,5141.4478,2451.4717,2986,0,0,0,0,0,2,13,8.0016899
AGO,BGR,2020,.0330276554450393,5141.4478,37385.117,5898,0,0,0,0,0,2,15,8.6823683
AGO,BHR,2020,0,5141.4478,16424.418,5628,0,0,0,0,0,2,16,8.6355095
AGO,BHS,2020,.8643012390784861,5141.4478,2262.3877,10569,0,0,0,0,0,2,17,9.2656803
AGO,BIH,2020,0,5141.4478,11679.238,5943,0,0,0,0,0,2,18,8.6899691
AGO,BLR,2020,.0167821669019759,5141.4478,44635.891,7143,0,0,0,0,0,2,19,8.873888
AGO,BLZ,2020,.2431575357913971,5141.4478,2683.4839,11646,0,0,0,0,0,2,20,9.3627176
AGO,BMU,2020,68.84731292724609,5141.4478,1865.2787,9517,0,0,0,0,0,2,21,9.1608353
AGO,BOL,2020,.0200168638302785,5141.4478,9777.9199,8616,0,0,0,0,0,2,22,9.0613766
AGO,BRA,2020,9.271230576327071,5141.4478,685660.69,6457,0,1,0,0,0,2,23,8.7729197
AGO,BRB,2020,0,5141.4478,1574.4219,8486,0,0,0,0,0,2,24,9.0461731
AGO,BRN,2020,.0302919330424629,5141.4478,6565.5693,11338,0,0,0,0,0,2,25,9.3359156
AGO,BWA,2020,.5282687845223109,5141.4478,5798.4136,2110,0,0,0,0,0,2,27,7.6544433
AGO,CAF,2020,.1715777657577746,5141.4478,561.26611,1647,0,0,0,0,0,2,28,7.4067106
AGO,CAN,2020,.0294602965277591,5141.4478,548209.63,11640,0,0,0,0,0,2,29,9.3622026
AGO,CHE,2020,.0211077257190482,5141.4478,334475.63,6307,0,0,0,0,0,2,30,8.7494154
AGO,CHL,2020,.0009252249546989,5141.4478,142974.16,8948,0,0,0,0,0,2,31,9.099185
AGO,CHN,2020,270.2811001480895,5141.4478,14302975,11648,0,0,0,0,0,2,32,9.3628902
AGO,CIV,2020,2.202293577371165,5141.4478,14384.362,2603,0,0,0,0,0,2,33,7.8644199
AGO,CMR,2020,4.211787568543514,5141.4478,10954.771,1601,0,0,0,0,0,2,34,7.3783836
AGO,COG,2020,25.49773911945522,5141.4478,3068.3477,623,1,0,0,0,0,2,35,6.4345465
AGO,COL,2020,.0074772911175387,5141.4478,85610.68,9959,0,0,0,0,0,2,36,9.2062321
AGO,CPV,2020,.1125723907907741,5141.4478,767.97839,4927,0,1,0,0,0,2,37,8.5024853
AGO,CRI,2020,.000327821544488,5141.4478,29670.211,11048,0,0,0,0,0,2,38,9.3100042
AGO,CYP,2020,.9157025218009949,5141.4478,8392.4385,5375,0,0,0,0,0,2,40,8.5895138
AGO,CZE,2020,.045309829270991,5141.4478,181278.66,6597,0,0,0,0,0,2,41,8.7943707
AGO,DEU,2020,1.05696238722885,5141.4478,1861085,6768,0,0,0,0,0,2,42,8.8199606
AGO,DNK,2020,.1002627262841997,5141.4478,120962,7240,0,0,0,0,0,2,43,8.8873768
AGO,DOM,2020,.0147909555660135,5141.4478,30762.422,9706,0,0,0,0,0,2,44,9.1804991
AGO,ECU,2020,.0011144200980198,5141.4478,33144.43,10325,0,0,0,0,0,2,46,9.2423239
AGO,EGY,2020,.1798976967529597,5141.4478,184152.89,4789,0,0,0,0,0,2,47,8.4740772
AGO,ESP,2020,22.59786032885313,5141.4478,507094.91,5756,0,0,0,0,0,2,49,8.6579981
AGO,EST,2020,0,5141.4478,17565.619,7722,0,0,0,0,0,2,50,8.951829
AGO,ETH,2020,.0073136889619576,5141.4478,15627.124,3496.3257,0,0,0,0,0,2,51,8.1594677
AGO,FIN,2020,.0037693100312026,5141.4478,96175.563,7831,0,0,0,0,0,2,52,8.9658451
AGO,FJI,2020,0,5141.4478,1868.4376,16508,0,0,0,0,0,2,53,9.7116003
AGO,FRA,2020,12.79127297899686,5141.4478,985636.31,6401,0,0,0,0,0,2,54,8.7642097
AGO,GAB,2020,.0529748303397355,5141.4478,6052.8862,1211,0,0,0,0,0,2,55,7.0992017
AGO,GBR,2020,1.450518292374909,5141.4478,828208.25,7059,0,0,0,0,0,2,56,8.8620586
AGO,GEO,2020,0,5141.4478,7131.5308,6515,0,0,0,0,0,2,57,8.7818623
AGO,GMB,2020,.0061554788262583,5141.4478,450.68839,4222,0,0,0,0,0,2,59,8.3480644
AGO,GRC,2020,.0120061747184081,5141.4478,68347.898,5429,0,0,0,0,0,2,60,8.5995102
AGO,GTM,2020,0,5141.4478,27641.701,11804,0,0,0,0,0,2,61,9.376194
AGO,HKG,2020,17.54937645206883,5141.4478,271813.56,11488,0,0,0,0,0,2,62,9.3490582
AGO,HND,2020,.0047644362784922,5141.4478,13639.521,11483,0,0,0,0,0,2,63,9.3486233
AGO,HRV,2020,0,5141.4478,28352.361,6147,0,0,0,0,0,2,64,8.7237196
AGO,HUN,2020,.0097738653930719,5141.4478,117515.38,6352,0,0,0,0,0,2,66,8.756525
AGO,IDN,2020,15.24921508162424,5141.4478,471603.78,10483.003,0,0,0,0,0,2,67,9.2575102
AGO,IND,2020,296.818006371177,5141.4478,1122649.5,7826,0,0,0,0,0,2,68,8.9652071
AGO,IRL,2020,.0008031240595301,5141.4478,113602.95,7231,0,0,0,0,0,2,69,8.8861322
AGO,IRN,2020,0,5141.4478,731421.44,6353,0,0,0,0,0,2,70,8.7566824
